"background size","chart color","description","Evidence codes","intersecting genes","intersection size","network.SUID","nodes.SUID","p-value","precision","query size","recall","source","term id","term name","term size"
"21017","","""Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."" [GOC:mah, ISBN:0815316194]","""NAS""|""TAS""|""IGI""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000183657|ENSG00000169116|ENSG00000131620|ENSG00000152689|ENSG00000250111|ENSG00000184194|ENSG00000164929|ENSG00000070081|ENSG00000125845|ENSG00000181826|ENSG00000234184|ENSG00000148143|ENSG00000196549|ENSG00000169607|ENSG00000042980|ENSG00000164045|ENSG00000170835|ENSG00000174776|ENSG00000184584|ENSG00000109674|ENSG00000144677|ENSG00000185666|ENSG00000116667|ENSG00000205726|ENSG00000081026|ENSG00000151725|ENSG00000152253|ENSG00000021762|ENSG00000272733|ENSG00000176890|ENSG00000211942|ENSG00000170677|ENSG00000254060|ENSG00000114315","34","66719","64697|64499|64611|64287|64909|64927|64229|64963|64605|64335|64251|64349|64945|64579|64353|64267|64495|64695|64897|64947|64961|65349|64679|64279|64643|64607|64921|64617|64235|64257|64243|64493|64597|64673","1.1273641757396059E-10","0.19653179190751446","173","0.0379041248606466","Gene Ontology Biological Process","GO:0000278","mitotic cell cycle","897"
"21017","","""A process that is part of the mitotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]","""NAS""|""TAS""|""IGI""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000169116|ENSG00000131620|ENSG00000152689|ENSG00000250111|ENSG00000184194|ENSG00000164929|ENSG00000070081|ENSG00000125845|ENSG00000181826|ENSG00000234184|ENSG00000148143|ENSG00000196549|ENSG00000169607|ENSG00000042980|ENSG00000164045|ENSG00000174776|ENSG00000184584|ENSG00000109674|ENSG00000144677|ENSG00000185666|ENSG00000116667|ENSG00000205726|ENSG00000081026|ENSG00000151725|ENSG00000152253|ENSG00000021762|ENSG00000272733|ENSG00000176890|ENSG00000211942|ENSG00000254060|ENSG00000114315","31","66719","64499|64611|64287|64909|64927|64229|64963|64605|64335|64251|64349|64945|64579|64353|64267|64695|64897|64947|64961|65349|64679|64279|64643|64607|64921|64617|64235|64257|64243|64597|64673","1.5593669895684665E-10","0.1791907514450867","173","0.041499330655957165","Gene Ontology Biological Process","GO:1903047","mitotic cell cycle process","747"
"21017","","""A mitotic cell cycle process comprising the steps by which the nucleus of a eukaryotic cell divides; the process involves condensation of chromosomal DNA into a highly compacted form. Canonically, mitosis produces two daughter nuclei whose chromosome complement is identical to that of the mother cell."" [ISBN:0198547684]","""NAS""|""TAS""|""IMP""|""IBA""|""IEA""|""IDA""","ENSG00000169116|ENSG00000152689|ENSG00000250111|ENSG00000184194|ENSG00000164929|ENSG00000070081|ENSG00000125845|ENSG00000181826|ENSG00000148143|ENSG00000169607|ENSG00000164045|ENSG00000184584|ENSG00000205726|ENSG00000081026|ENSG00000151725|ENSG00000152253|ENSG00000021762|ENSG00000272733|ENSG00000176890|ENSG00000114315","20","66719","64499|64287|64909|64927|64229|64963|64605|64335|64349|64579|64267|64897|64279|64643|64607|64921|64617|64235|64257|64673","3.5401228725696323E-10","0.11560693641618497","173","0.0711743772241993","Gene Ontology Biological Process","GO:0140014","mitotic nuclear division","281"
"21017","","""The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. In eukaryotes, chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."" [GOC:jl, GOC:mah, GOC:mtg_cell_cycle, GOC:vw]","""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""ISO""|""IDA""","ENSG00000169116|ENSG00000136999|ENSG00000152689|ENSG00000250111|ENSG00000164929|ENSG00000125845|ENSG00000095932|ENSG00000181826|ENSG00000148143|ENSG00000169607|ENSG00000164045|ENSG00000184584|ENSG00000267366|ENSG00000205726|ENSG00000081026|ENSG00000151725|ENSG00000165507|ENSG00000152253|ENSG00000021762|ENSG00000272733|ENSG00000176890|ENSG00000226281|ENSG00000114315","23","66719","64499|64633|64287|64909|64229|64605|65337|64335|64349|64579|64267|64897|64583|64279|64643|64607|64541|64921|64617|64235|64257|64517|64673","1.7578530063659808E-9","0.1329479768786127","173","0.053864168618266976","Gene Ontology Biological Process","GO:0007059","chromosome segregation","427"
"21017","","""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]","""NAS""|""TAS""|""IGI""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000163808|ENSG00000072110|ENSG00000134369|ENSG00000091409|ENSG00000081052|ENSG00000186818|ENSG00000153885|ENSG00000184194|ENSG00000251675|ENSG00000267690|ENSG00000164929|ENSG00000070081|ENSG00000157557|ENSG00000174607|ENSG00000183690|ENSG00000165349|ENSG00000095932|ENSG00000169031|ENSG00000173894|ENSG00000234184|ENSG00000125384|ENSG00000123095|ENSG00000110237|ENSG00000211898|ENSG00000170835|ENSG00000166352|ENSG00000185666|ENSG00000223806|ENSG00000152953|ENSG00000204482|ENSG00000149418|ENSG00000185477|ENSG00000233355|ENSG00000106366|ENSG00000139734|ENSG00000069702|ENSG00000272733|ENSG00000197471|ENSG00000211821|ENSG00000170677|ENSG00000267262|ENSG00000256018","42","66719","64553|64351|64535|64295|64245|64919|64281|64927|64953|64237|64229|64963|64497|64561|64333|64677|65337|64301|64293|64251|64563|64283|64339|64319|64495|64329|65349|64903|64923|64289|64363|64305|65341|64707|64599|64621|64235|64525|64907|64493|65351|64651","2.1509036087123774E-9","0.24277456647398843","173","0.028018679119412943","Gene Ontology Biological Process","GO:0016477","cell migration","1499"
"10916","","Signal Transduction","""REAC""","ENSG00000214357|ENSG00000256316|ENSG00000167723|ENSG00000163808|ENSG00000138160|ENSG00000229989|ENSG00000131620|ENSG00000115738|ENSG00000152689|ENSG00000178999|ENSG00000184194|ENSG00000251675|ENSG00000267690|ENSG00000164929|ENSG00000227191|ENSG00000070081|ENSG00000157557|ENSG00000174607|ENSG00000183690|ENSG00000245869|ENSG00000066279|ENSG00000251606|ENSG00000173894|ENSG00000099725|ENSG00000234184|ENSG00000125384|ENSG00000136158|ENSG00000196549|ENSG00000186187|ENSG00000240754|ENSG00000123095|ENSG00000245648|ENSG00000139318|ENSG00000211898|ENSG00000143369|ENSG00000170835|ENSG00000162543|ENSG00000184584|ENSG00000162676|ENSG00000145649|ENSG00000185666|ENSG00000117632|ENSG00000182983|ENSG00000152953|ENSG00000184357|ENSG00000267366|ENSG00000149418|ENSG00000081026|ENSG00000151725|ENSG00000185477|ENSG00000165507|ENSG00000233355|ENSG00000021762|ENSG00000272733|ENSG00000169439|ENSG00000183722|ENSG00000197471|ENSG00000176890|ENSG00000249717|ENSG00000211942|ENSG00000170677|ENSG00000267262|ENSG00000256018","63","66719","64481|64693|64265|64553|64669|64665|64611|64639|64287|64573|64927|64953|64237|64229|65359|64963|64497|64561|64333|64325|64503|64591|64293|64527|64251|64563|64545|64945|64531|65357|64283|64905|64489|64319|64227|64495|64691|64897|64513|64557|65349|64269|64253|64923|64559|64583|64363|64643|64607|64305|64541|65341|64617|64235|64595|64659|64525|64257|65343|64243|64493|65351|64651","3.610732239925861E-9","0.5163934426229508","122","0.024725274725274724","Reactome pathways","REAC:R-HSA-162582","Signal Transduction","2548"
"21017","","""The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."" [GOC:go_curators, GOC:mtg_cell_cycle]","""IPI""|""NAS""|""TAS""|""IGI""|""IMP""|""ISS""|""IBA""|""IEA""|""ISO""|""IDA""","ENSG00000183657|ENSG00000169116|ENSG00000131620|ENSG00000136999|ENSG00000152689|ENSG00000178999|ENSG00000250111|ENSG00000184194|ENSG00000267690|ENSG00000109047|ENSG00000164929|ENSG00000070081|ENSG00000183690|ENSG00000125845|ENSG00000095932|ENSG00000181826|ENSG00000234184|ENSG00000148143|ENSG00000196549|ENSG00000186187|ENSG00000169607|ENSG00000042980|ENSG00000139318|ENSG00000164045|ENSG00000170835|ENSG00000174776|ENSG00000184584|ENSG00000109674|ENSG00000255189|ENSG00000144677|ENSG00000185666|ENSG00000116667|ENSG00000267366|ENSG00000205726|ENSG00000081026|ENSG00000151725|ENSG00000165507|ENSG00000152253|ENSG00000021762|ENSG00000272733|ENSG00000176890|ENSG00000226281|ENSG00000211942|ENSG00000170677|ENSG00000254060|ENSG00000114315","46","66719","64697|64499|64611|64633|64287|64573|64909|64927|64237|64273|64229|64963|64333|64605|65337|64335|64251|64349|64945|64531|64579|64353|64489|64267|64495|64695|64897|64947|64299|64961|65349|64679|64583|64279|64643|64607|64541|64921|64617|64235|64257|64517|64243|64493|64597|64673","5.610333633046328E-9","0.2658959537572254","173","0.025219298245614034","Gene Ontology Biological Process","GO:0007049","cell cycle","1824"
"21017","","""The cellular process that ensures successive accurate and complete genome replication and chromosome segregation."" [GOC:isa_complete, GOC:mtg_cell_cycle]","""IPI""|""NAS""|""TAS""|""IGI""|""IMP""|""ISS""|""IBA""|""IEA""|""ISO""|""IDA""","ENSG00000169116|ENSG00000131620|ENSG00000136999|ENSG00000152689|ENSG00000250111|ENSG00000184194|ENSG00000267690|ENSG00000164929|ENSG00000070081|ENSG00000125845|ENSG00000095932|ENSG00000181826|ENSG00000234184|ENSG00000148143|ENSG00000196549|ENSG00000169607|ENSG00000042980|ENSG00000164045|ENSG00000174776|ENSG00000184584|ENSG00000109674|ENSG00000255189|ENSG00000144677|ENSG00000185666|ENSG00000116667|ENSG00000267366|ENSG00000205726|ENSG00000081026|ENSG00000151725|ENSG00000165507|ENSG00000152253|ENSG00000021762|ENSG00000272733|ENSG00000176890|ENSG00000226281|ENSG00000211942|ENSG00000254060|ENSG00000114315","38","66719","64499|64611|64633|64287|64909|64927|64237|64229|64963|64605|65337|64335|64251|64349|64945|64579|64353|64267|64695|64897|64947|64299|64961|65349|64679|64583|64279|64643|64607|64541|64921|64617|64235|64257|64517|64243|64597|64673","5.782572238356319E-9","0.21965317919075145","173","0.0296875","Gene Ontology Biological Process","GO:0022402","cell cycle process","1280"
"21017","","""The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the mitotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner. One homolog of each morphologic type goes into each of the resulting chromosome sets."" [GOC:ai, GOC:jl]","""NAS""|""TAS""|""IMP""|""IBA""|""IEA""|""IDA""","ENSG00000169116|ENSG00000152689|ENSG00000250111|ENSG00000164929|ENSG00000181826|ENSG00000148143|ENSG00000169607|ENSG00000164045|ENSG00000184584|ENSG00000205726|ENSG00000081026|ENSG00000151725|ENSG00000152253|ENSG00000021762|ENSG00000272733|ENSG00000176890","16","66719","64499|64287|64909|64229|64335|64349|64579|64267|64897|64279|64643|64607|64921|64617|64235|64257","8.586460485666806E-9","0.09248554913294797","173","0.08376963350785341","Gene Ontology Biological Process","GO:0000070","mitotic sister chromatid segregation","191"
"21017","","""The cell cycle process in which sister chromatids are organized and then physically separated and apportioned to two or more sets."" [GOC:ai, GOC:elh]","""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","ENSG00000169116|ENSG00000136999|ENSG00000152689|ENSG00000250111|ENSG00000164929|ENSG00000181826|ENSG00000148143|ENSG00000169607|ENSG00000164045|ENSG00000184584|ENSG00000205726|ENSG00000081026|ENSG00000151725|ENSG00000152253|ENSG00000021762|ENSG00000272733|ENSG00000176890","17","66719","64499|64633|64287|64909|64229|64335|64349|64579|64267|64897|64279|64643|64607|64921|64617|64235|64257","1.5562362728949623E-8","0.09826589595375723","173","0.07327586206896551","Gene Ontology Biological Process","GO:0000819","sister chromatid segregation","232"
